Rep,Group,PopSpecies,PhenotypeSpecies,PhenotypeCageSpecies,PopNumber,numFlies,rep2,rep,trays,maxFlies,meanFlies,normFlies,date,val,date2,line
T4.MY,1,Turritus,B,Tested on Mixture,4,4,T4,Y,6,2,0.8,0.666666666666667,X13.Feb,0,13.Feb,T4.MY 1
T4.TX,1,Turritus,T,Tested on Turritus,4,40,T4,X,6,18,5.71428571428571,6.66666666666667,X13.Feb,0,13.Feb,T4.TX 1
T4.TY,1,Turritus,T,Tested on Turritus,4,17,T4,Y,6,9,2.83333333333333,2.83333333333333,X13.Feb,1,13.Feb,T4.TY 1
B3.BX,2,Barbarea,B,Tested on Barbarea,3,29,B3,X,6,15,4.83333333333333,4.83333333333333,X13.Feb,15,13.Feb,B3.BX 2
B3.BY,2,Barbarea,B,Tested on Barbarea,3,24,B3,Y,5,6,3.42857142857143,4.8,X13.Feb,4,13.Feb,B3.BY 2
B3.MX,2,Barbarea,B,Tested on Mixture,3,12,B3,X,6,4,2,2,X13.Feb,3,13.Feb,B3.MX 2
B3.MY,2,Barbarea,T,Tested on Mixture,3,28,B3,Y,6,9,4,4.66666666666667,X13.Feb,0,13.Feb,B3.MY 2
B3.TX,2,Barbarea,T,Tested on Turritus,3,28,B3,X,5,8,4,5.6,X13.Feb,2,13.Feb,B3.TX 2
B3.TY,2,Barbarea,T,Tested on Turritus,3,30,B3,Y,5,14,4.28571428571429,6,X13.Feb,0,13.Feb,B3.TY 2
B4.BX,2,Barbarea,B,Tested on Barbarea,4,20,B4,X,6,13,3.33333333333333,3.33333333333333,X13.Feb,4,13.Feb,B4.BX 2
B4.BY,2,Barbarea,B,Tested on Barbarea,4,18,B4,Y,6,10,3,3,X13.Feb,10,13.Feb,B4.BY 2
B4.MX,2,Barbarea,T,Tested on Mixture,4,4,B4,X,6,3,0.571428571428571,0.666666666666667,X13.Feb,0,13.Feb,B4.MX 2
B4.MY,2,Barbarea,T,Tested on Mixture,4,27,B4,Y,5,8,3.85714285714286,5.4,X13.Feb,0,13.Feb,B4.MY 2
B4.TX,2,Barbarea,T,Tested on Turritus,4,14,B4,X,6,4,2.33333333333333,2.33333333333333,X13.Feb,2,13.Feb,B4.TX 2
B4.TY,2,Barbarea,T,Tested on Turritus,4,4,B4,Y,6,2,0.666666666666667,0.666666666666667,X13.Feb,0,13.Feb,B4.TY 2
M3.BY,2,Mixture,B,Tested on Barbarea,3,19,M3,Y,6,12,3.16666666666667,3.16666666666667,X13.Feb,4,13.Feb,M3.BY 2
M3.MX,2,Mixture,B,Tested on Mixture,3,11,M3,X,4,6,1.83333333333333,2.75,X13.Feb,3,13.Feb,M3.MX 2
M3.MY,2,Mixture,B,Tested on Mixture,3,2,M3,Y,3,1,0.4,0.666666666666667,X13.Feb,1,13.Feb,M3.MY 2
M3.TX,2,Mixture,T,Tested on Turritus,3,6,M3,X,6,5,1,1,X13.Feb,0,13.Feb,M3.TX 2
M4.BX,2,Mixture,B,Tested on Barbarea,4,14,M4,X,5,6,2.33333333333333,2.8,X13.Feb,5,13.Feb,M4.BX 2
M4.BY,2,Mixture,B,Tested on Barbarea,4,2,M4,Y,6,1,0.333333333333333,0.333333333333333,X13.Feb,1,13.Feb,M4.BY 2
M4.MX,2,Mixture,T,Tested on Mixture,4,32,M4,X,5,12,4.57142857142857,6.4,X13.Feb,1,13.Feb,M4.MX 2
M4.MY,2,Mixture,B,Tested on Mixture,4,4,M4,Y,5,3,0.8,0.8,X13.Feb,0,13.Feb,M4.MY 2
M4.TX,2,Mixture,T,Tested on Turritus,4,15,M4,X,5,3,1.66666666666667,3,X13.Feb,1,13.Feb,M4.TX 2
